Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
岩手,16,190000,185000,195000,18297,9149,21337,10669
岩手,17,200000,195000,210000,19260,9630,22460,11230
岩手,18,220000,210000,230000,21186,10593,24706,12353
岩手,19,240000,230000,250000,23112,11556,26952,13476
岩手,20,260000,250000,270000,25038,12519,29198,14599
岩手,21,280000,270000,290000,26964,13482,31444,15722
岩手,22,300000,290000,310000,28890,14445,33690,16845
岩手,23,320000,310000,330000,30816,15408,35936,17968
岩手,24,340000,330000,350000,32742,16371,38182,19091
岩手,25,360000,350000,370000,34668,17334,40428,20214
岩手,26,380000,370000,395000,36594,18297,42674,21337
岩手,27,410000,395000,425000,39483,19742,46043,23022
岩手,28,440000,425000,455000,42372,21186,49412,24706
岩手,29,470000,455000,485000,45261,22631,52781,26391
岩手,30,500000,485000,515000,48150,24075,56150,28075
岩手,31,530000,515000,545000,51039,25520,59519,29760
岩手,32,560000,545000,575000,53928,26964,62888,31444
岩手,33,590000,575000,605000,56817,28409,66257,33128
岩手,34,620000,605000,635000,59706,29853,69626,34813
岩手,35,650000,635000,665000,62595,31298,72995,36498
岩手,36,680000,665000,695000,65484,32742,76364,38182
岩手,37,710000,695000,730000,68373,34187,79733,39867
岩手,38,750000,730000,770000,72225,36113,84225,42113
岩手,39,790000,770000,810000,76077,38039,88717,44359
岩手,40,830000,810000,855000,79929,39965,93209,46605
岩手,41,880000,855000,905000,84744,42372,98824,49412
岩手,42,930000,905000,955000,89559,44780,104439,52220
岩手,43,980000,955000,1005000,94374,47187,110054,55027
岩手,44,1030000,1005000,1055000,99189,49595,115669,57835
岩手,45,1090000,1055000,1115000,104967,52484,122407,61204
岩手,46,1150000,1115000,1175000,110745,55373,129145,64573
岩手,47,1210000,1175000,1235000,116523,58262,135883,67942
岩手,48,1270000,1235000,1295000,122301,61151,142621,71310
岩手,49,1330000,1295000,1355000,128079,64040,149359,74680
岩手,50,1390000,1355000,NA,133857,66929,156097,78049
宮城,1,58000,NA,63000,5806,2903,6734,3367
宮城,2,68000,63000,73000,6807,3403,7895,3947
宮城,3,78000,73000,83000,7808,3904,9056,4528
宮城,4,88000,83000,93000,8809,4404,10217,5108
宮城,5,98000,93000,101000,9810,4905,11378,5689
宮城,6,104000,101000,107000,10410,5205,12074,6037
宮城,7,110000,107000,114000,11011,5506,12771,6386
宮城,8,118000,114000,122000,11812,5906,13700,6850
宮城,9,126000,122000,130000,12613,6306,14629,7314
宮城,10,134000,130000,138000,13413,6707,15557,7779
宮城,11,142000,138000,146000,14214,7107,16486,8243
宮城,12,150000,146000,155000,15015,7508,17415,8708
宮城,13,160000,155000,165000,16016,8008,18576,9288
宮城,14,170000,165000,175000,17017,8508,19737,9868
宮城,15,180000,175000,185000,18018,9009,20898,10449
宮城,16,190000,185000,195000,19019,9510,22059,11030
宮城,17,200000,195000,210000,20020,10010,23220,11610
宮城,18,220000,210000,230000,22022,11011,25542,12771
宮城,19,240000,230000,250000,24024,12012,27864,13932
宮城,20,260000,250000,270000,26026,13013,30186,15093
宮城,21,280000,270000,290000,28028,14014,32508,16254
宮城,22,300000,290000,310000,30030,15015,34830,17415
宮城,23,320000,310000,330000,32032,16016,37152,18576
宮城,24,340000,330000,350000,34034,17017,39474,19737
宮城,25,360000,350000,370000,36036,18018,41796,20898
宮城,26,380000,370000,395000,38038,19019,44118,22059
宮城,27,410000,395000,425000,41041,20520,47601,23800
宮城,28,440000,425000,455000,44044,22022,51084,25542
宮城,29,470000,455000,485000,47047,23524,54567,27284
宮城,30,500000,485000,515000,50050,25025,58050,29025
宮城,31,530000,515000,545000,53053,26526,61533,30766
宮城,32,560000,545000,575000,56056,28028,65016,32508
宮城,33,590000,575000,605000,59059,29530,68499,34250
宮城,34,620000,605000,635000,62062,31031,71982,35991
宮城,35,650000,635000,665000,65065,32532,75465,37732
宮城,36,680000,665000,695000,68068,34034,78948,39474
宮城,37,710000,695000,730000,71071,35536,82431,41216
宮城,38,750000,730000,770000,75075,37538,87075,43538
宮城,39,790000,770000,810000,79079,39540,91719,45860
宮城,40,830000,810000,855000,83083,41542,96363,48182
宮城,41,880000,855000,905000,88088,44044,102168,51084
宮城,42,930000,905000,955000,93093,46546,107973,53986
宮城,43,980000,955000,1005000,98098,49049,113778,56889
